x,y,,,,,,,,T,,,,ax,ay,az,g1,g2,g3,z
-9.994304,-1.263254,,,,,,,,10.4,,,,16.12638,-3.759854,11.72488,0.05150554,0.1409345,0.003994741,3.48856
-9.982429,-1.107223,,,,,,,,10.6,,,,21.79538,-35.24025,3.445256,0.05997439,0.2129996,0.2090582,3.41485
-9.948233,-0.9306281,,,,,,,,10.8,,,,37.08523,-7.942525,5.07906,0.1383246,-0.0797883,0.07675231,3.34758
-9.901959,-0.746103,,,,,,,,11,,,,-17.23442,23.00972,16.25807,0.1000283,0.1826396,0.03834952,3.2874
-9.844995,-0.5480862,,,,,,,,11.2,,,,13.0551,23.61066,5.114973,0.1314004,0.1903095,0.0829841,3.23938
-9.761148,-0.3445131,,,,,,,,11.4,,,,2.108813,7.072951,6.506004,-0.1002414,0.2096973,0.103597,3.21276
-9.699702,-0.1446966,,,,,,,,11.6,,,,-27.63627,-10.6111,21.29403,0.09193232,0.2710565,0.2207228,3.21277
-9.630969,0.04708727,,,,,,,,11.8,,,,65.18549,7.699753,10.17201,0.1173389,0.4275439,0.117978,3.22355
-9.588029,0.2426669,,,,,,,,12,,,,8.233181,-21.7767,11.72632,-0.2444249,-0.01075917,-0.443949,3.2366
-9.570823,0.45023,,,,,,,,12.2,,,,22.55625,-14.40591,25.51501,0.1624528,0.04841627,0.1126517,3.24571
-9.57383,0.65176,,,,,,,,12.4,,,,75.15016,-43.60608,-0.1292869,-0.01017328,0.09960222,0.2148106,3.25823
-9.568957,0.8592181,,,,,,,,12.6,,,,1.922065,16.39454,17.22484,0.1286839,0.04468784,-0.1996838,3.2725
-9.581276,1.061005,,,,,,,,12.8,,,,40.8288,-29.73072,1.703235,0.07046724,-0.1329983,0.4825115,3.28282
-9.601373,1.264037,,,,,,,,13,,,,10.1677,-6.116706,7.63894,0.04042679,-0.202347,-0.1051416,3.292
-9.618644,1.462775,,,,,,,,13.2,,,,-42.03356,17.1851,17.20186,0.1476989,-0.06029397,-0.1554221,3.29568
-9.638972,1.651018,,,,,,,,13.4,,,,-0.9112332,19.28386,3.043509,-0.04143879,0.2496447,-0.2553439,3.28866
-9.659313,1.832888,,,,,,,,13.6,,,,-16.03732,-21.25524,11.64827,-0.0793622,0.1080711,0.3936152,3.27243
-9.669906,2.019626,,,,,,,,13.8,,,,23.83141,-8.465419,2.751417,-0.142053,0.007297061,0.5116465,3.25998
